,"('J', 'J')","('J', 'C')","('J', 'H')","('J', 'A')","('J', 'E')","('J', 'F')","('J', 'I')","('J', 'D')","('J', 'G')","('J', 'B')","('C', 'J')","('C', 'C')","('C', 'H')","('C', 'A')","('C', 'E')","('C', 'F')","('C', 'I')","('C', 'D')","('C', 'G')","('C', 'B')","('H', 'J')","('H', 'C')","('H', 'H')","('H', 'A')","('H', 'E')","('H', 'F')","('H', 'I')","('H', 'D')","('H', 'G')","('H', 'B')","('A', 'J')","('A', 'C')","('A', 'H')","('A', 'A')","('A', 'E')","('A', 'F')","('A', 'I')","('A', 'D')","('A', 'G')","('A', 'B')","('E', 'J')","('E', 'C')","('E', 'H')","('E', 'A')","('E', 'E')","('E', 'F')","('E', 'I')","('E', 'D')","('E', 'G')","('E', 'B')","('F', 'J')","('F', 'C')","('F', 'H')","('F', 'A')","('F', 'E')","('F', 'F')","('F', 'I')","('F', 'D')","('F', 'G')","('F', 'B')","('I', 'J')","('I', 'C')","('I', 'H')","('I', 'A')","('I', 'E')","('I', 'F')","('I', 'I')","('I', 'D')","('I', 'G')","('I', 'B')","('D', 'J')","('D', 'C')","('D', 'H')","('D', 'A')","('D', 'E')","('D', 'F')","('D', 'I')","('D', 'D')","('D', 'G')","('D', 'B')","('G', 'J')","('G', 'C')","('G', 'H')","('G', 'A')","('G', 'E')","('G', 'F')","('G', 'I')","('G', 'D')","('G', 'G')","('G', 'B')","('B', 'J')","('B', 'C')","('B', 'H')","('B', 'A')","('B', 'E')","('B', 'F')","('B', 'I')","('B', 'D')","('B', 'G')","('B', 'B')"
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,13.094304566778266,,,,
5,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,13.094304566778266,,,,
6,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,11.394267984578835,,,,,,,,,,,,11.037260313668911,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,
7,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,11.394267984578835,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,11.394267984578835,,,,,,
8,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,11.394267984578835,,,,,,,,,,,,11.037260313668911,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,
9,,,9.011647870223289,,,,,,,,,,,,,11.037260313668911,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,11.394267984578835,,,,,,,,,,,,11.037260313668911,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,
10,,,9.011647870223289,,,,,,,,,,,,,11.037260313668911,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,11.394267984578835,,,,,,,,,,,,11.037260313668911,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,
