,"('D', 'D')","('D', 'J')","('D', 'E')","('D', 'I')","('D', 'A')","('D', 'G')","('D', 'C')","('D', 'F')","('D', 'H')","('D', 'B')","('J', 'D')","('J', 'J')","('J', 'E')","('J', 'I')","('J', 'A')","('J', 'G')","('J', 'C')","('J', 'F')","('J', 'H')","('J', 'B')","('E', 'D')","('E', 'J')","('E', 'E')","('E', 'I')","('E', 'A')","('E', 'G')","('E', 'C')","('E', 'F')","('E', 'H')","('E', 'B')","('I', 'D')","('I', 'J')","('I', 'E')","('I', 'I')","('I', 'A')","('I', 'G')","('I', 'C')","('I', 'F')","('I', 'H')","('I', 'B')","('A', 'D')","('A', 'J')","('A', 'E')","('A', 'I')","('A', 'A')","('A', 'G')","('A', 'C')","('A', 'F')","('A', 'H')","('A', 'B')","('G', 'D')","('G', 'J')","('G', 'E')","('G', 'I')","('G', 'A')","('G', 'G')","('G', 'C')","('G', 'F')","('G', 'H')","('G', 'B')","('C', 'D')","('C', 'J')","('C', 'E')","('C', 'I')","('C', 'A')","('C', 'G')","('C', 'C')","('C', 'F')","('C', 'H')","('C', 'B')","('F', 'D')","('F', 'J')","('F', 'E')","('F', 'I')","('F', 'A')","('F', 'G')","('F', 'C')","('F', 'F')","('F', 'H')","('F', 'B')","('H', 'D')","('H', 'J')","('H', 'E')","('H', 'I')","('H', 'A')","('H', 'G')","('H', 'C')","('H', 'F')","('H', 'H')","('H', 'B')","('B', 'D')","('B', 'J')","('B', 'E')","('B', 'I')","('B', 'A')","('B', 'G')","('B', 'C')","('B', 'F')","('B', 'H')","('B', 'B')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.904925124490397,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,
6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,11.037260313668911,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,
7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,
8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,13.094304566778266,,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,13.094304566778266,0.0,
9,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,,
